artist,genre,playlist,popularity
blink-182,pop punk,New Punk Tracks,0
blink-182,punk,New Punk Tracks,0
blink-182,socal pop punk,New Punk Tracks,0
Stand Atlantic,anthem emo,New Punk Tracks,38
Stand Atlantic,pixie,New Punk Tracks,38
Stand Atlantic,pop emo,New Punk Tracks,38
Stand Atlantic,pop punk,New Punk Tracks,38
Bayside,alternative emo,New Punk Tracks,0
Bayside,dreamo,New Punk Tracks,0
Bayside,emo,New Punk Tracks,0
Bayside,modern rock,New Punk Tracks,0
Bayside,pop punk,New Punk Tracks,0
Bayside,post-hardcore,New Punk Tracks,0
Bayside,screamo,New Punk Tracks,0
Our Last Night,metalcore,New Punk Tracks,0
Our Last Night,pop punk,New Punk Tracks,0
Our Last Night,post-screamo,New Punk Tracks,0
Our Last Night,screamo,New Punk Tracks,0
Tsunami Bomb,punk,New Punk Tracks,0
Tsunami Bomb,ska punk,New Punk Tracks,0
Tsunami Bomb,skate punk,New Punk Tracks,0
Capstan,anthem emo,New Punk Tracks,0
Capstan,easycore,New Punk Tracks,0
Capstan,melodic hardcore,New Punk Tracks,0
Lights,canadian folk,New Punk Tracks,0
Lights,canadian pop,New Punk Tracks,0
Lights,electropop,New Punk Tracks,0
Lights,indie poptimism,New Punk Tracks,0
Lights,indietronica,New Punk Tracks,0
Lonely Avenue,post-screamo,New Punk Tracks,0
The Dirty Nil,canadian punk,New Punk Tracks,0
The Dirty Nil,hamilton on indie,New Punk Tracks,0
The Dirty Nil,indie punk,New Punk Tracks,0
Can't Swim,alternative emo,New Punk Tracks,0
Can't Swim,anthem emo,New Punk Tracks,0
Can't Swim,melodic hardcore,New Punk Tracks,0
Can't Swim,new jersey indie,New Punk Tracks,0
Can't Swim,progressive post-hardcore,New Punk Tracks,0
Mudhoney,alternative rock,New Punk Tracks,0
Mudhoney,garage rock,New Punk Tracks,0
Mudhoney,grunge,New Punk Tracks,0
Mudhoney,noise rock,New Punk Tracks,0
Mudhoney,post-grunge,New Punk Tracks,0
Mudhoney,punk,New Punk Tracks,0
Belmont,alternative emo,New Punk Tracks,37
Belmont,anthem emo,New Punk Tracks,37
Belmont,chicago pop punk,New Punk Tracks,37
Belmont,easycore,New Punk Tracks,37
Tiny Stills,,New Punk Tracks,0
Summer Heights,canadian pop punk,New Punk Tracks,0
Ready Steady Steroids,canadian pop punk,New Punk Tracks,14
Waco,,New Punk Tracks,0
Misery Loves Company,,New Punk Tracks,0
Snuff,melodic hardcore,New Punk Tracks,0
Snuff,skate punk,New Punk Tracks,0
Tiny Moving Parts,alternative emo,New Punk Tracks,41
Tiny Moving Parts,anthem emo,New Punk Tracks,41
Tiny Moving Parts,emo,New Punk Tracks,41
Tiny Moving Parts,midwest emo,New Punk Tracks,41
Green Day,permanent wave,New Punk Tracks,70
Green Day,pop punk,New Punk Tracks,70
Green Day,punk,New Punk Tracks,70
Green Day,rock,New Punk Tracks,70
Fall Out Boy,emo,New Punk Tracks,70
Fall Out Boy,modern rock,New Punk Tracks,70
Fall Out Boy,pop punk,New Punk Tracks,70
Raised Fist,skate punk,New Punk Tracks,50
Raised Fist,swedish alternative rock,New Punk Tracks,50
Raised Fist,swedish hardcore,New Punk Tracks,50
Microwave,alternative emo,New Punk Tracks,10
Microwave,anthem emo,New Punk Tracks,10
Microwave,emo,New Punk Tracks,10
Refused,alternative metal,New Punk Tracks,44
Refused,hardcore punk,New Punk Tracks,44
Refused,post-hardcore,New Punk Tracks,44
Refused,swedish hardcore,New Punk Tracks,44
Refused,swedish post-hardcore,New Punk Tracks,44
Refused,vegan straight edge,New Punk Tracks,44
Waterparks,neon pop punk,New Punk Tracks,52
Waterparks,pixie,New Punk Tracks,52
Waterparks,pop punk,New Punk Tracks,52
Waterparks,texas pop punk,New Punk Tracks,52
Agnostic Front,crossover thrash,New Punk Tracks,28
Agnostic Front,hardcore,New Punk Tracks,28
Agnostic Front,hardcore punk,New Punk Tracks,28
Agnostic Front,nyhc,New Punk Tracks,28
Agnostic Front,old school thrash,New Punk Tracks,28
Agnostic Front,punk,New Punk Tracks,28
Agnostic Front,rap rock,New Punk Tracks,28
Agnostic Front,straight edge,New Punk Tracks,28
WSTR,anthem emo,New Punk Tracks,46
WSTR,pop punk,New Punk Tracks,46
WSTR,uk pop punk,New Punk Tracks,46
Sleep On It,alternative emo,New Punk Tracks,34
Sleep On It,anthem emo,New Punk Tracks,34
Sleep On It,chicago pop punk,New Punk Tracks,34
Sleep On It,easycore,New Punk Tracks,34
Tiger Army,horror punk,New Punk Tracks,39
Tiger Army,psychobilly,New Punk Tracks,39
Tiger Army,punk,New Punk Tracks,39
Tiger Army,rockabilly,New Punk Tracks,39
Mest,emo,New Punk Tracks,33
Mest,pop punk,New Punk Tracks,33
Mest,skate punk,New Punk Tracks,33
Touché Amoré,alternative emo,New Punk Tracks,43
Touché Amoré,chaotic hardcore,New Punk Tracks,43
Touché Amoré,emo,New Punk Tracks,43
Touché Amoré,melodic hardcore,New Punk Tracks,43
Touché Amoré,post-hardcore,New Punk Tracks,43
Touché Amoré,screamo,New Punk Tracks,43
Boys of Fall,anthem emo,New Punk Tracks,36
Boys of Fall,easycore,New Punk Tracks,36
Boys of Fall,post-screamo,New Punk Tracks,36
Pixies,alternative rock,New Punk Tracks,42
Pixies,art rock,New Punk Tracks,42
Pixies,boston rock,New Punk Tracks,42
Pixies,garage rock,New Punk Tracks,42
Pixies,indie rock,New Punk Tracks,42
Pixies,modern rock,New Punk Tracks,42
Pixies,new wave,New Punk Tracks,42
Pixies,noise pop,New Punk Tracks,42
Pixies,permanent wave,New Punk Tracks,42
