,genre,counts
0,pop punk,321
2,punk,251
3,emo,234
4,anthem emo,226
5,melodic hardcore,191
6,alternative emo,185
7,skate punk,175
8,screamo,151
9,post-hardcore,130
10,ska punk,104
11,modern rock,92
12,rock,76
13,metalcore,69
14,ska,68
15,indie punk,66
16,easycore,65
17,modern ska punk,60
18,straight edge,57
19,canadian punk,56
20,dreamo,55
21,hardcore punk,55
22,alternative rock,53
23,hardcore,52
24,garage rock,52
25,canadian pop punk,51
26,uk pop punk,51
27,pop rock,50
28,psychedelic rock,49
29,protopunk,48
30,dance rock,47
31,pop emo,45
32,post-punk,44
33,progressive post-hardcore,44
34,permanent wave,42
35,steampunk,41
36,latincore,41
37,socal pop punk,40
38,art rock,39
39,post-grunge,38
40,nyhc,38
41,orgcore,38
42,pixie,38
43,horror punk,37
44,mexican pop punk,37
45,new wave,36
46,alternative metal,35
47,post-screamo,35
48,indie rock,35
49,crossover thrash,35
50,celtic punk,33
51,neon pop punk,33
52,riot grrrl,33
53,psychobilly,33
54,melodic metalcore,32
55,dark cabaret,32
56,dance-punk,32
57,rockabilly,30
58,folk punk,29
59,experimental rock,29
60,classic rock,25
61,experimental,24
62,lo-fi,23
63,chicago pop punk,23
64,folk rock,23
65,noise pop,23
66,canadian post-hardcore,22
67,canadian hardcore,22
68,midwest emo,22
69,punk blues,21
70,mathcore,21
71,classic garage rock,21
72,celtic rock,20
73,chaotic hardcore,20
74,noise rock,20
75,freakbeat,19
76,no wave,19
77,comic,19
78,emo punk,19
79,thrash core,18
80,pub rock,18
81,canadian rock,17
82,metallic hardcore,17
83,philly indie,17
84,rap rock,16
85,vegan straight edge,16
86,math rock,16
87,fast melodic punk,15
88,nu metal,15
89,olympia wa indie,14
90,uk post-punk,14
91,diy emo,14
92,glam rock,14
93,album rock,13
94,grunge,13
95,new jersey indie,13
96,chicago punk,13
97,power-pop punk,13
98,christian metal,12
99,roots rock,11
100,beatdown,11
101,power pop,11
102,indie garage rock,11
103,mexican rock,11
104,dc hardcore,10
105,garage psych,10
